Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
Oman,393,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,77058,0.5100054504399283
Pakistan,5842,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,274289,2.1298703192618005
Panama,1322,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,61442,2.1516226685329256
Papua New Guinea,0,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,62,0.0
Paraguay,43,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,4548,0.9454705364995603
Peru,18418,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,389717,4.725993477318156
Philippines,1945,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,82040,2.3707947342759628
Poland,1676,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,43402,3.8615731993917333
Portugal,1719,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,50299,3.417562973418955
Qatar,165,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,109597,0.1505515661925053
Romania,2206,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,45902,4.805890810857915
Russia,13334,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,816680,1.632708037419797
Rwanda,5,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,1879,0.2660989888238425
Saint Kitts and Nevis,0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,17,0.0
Saint Lucia,0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,24,0.0
Saint Vincent and the Grenadines,0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,52,0.0
San Marino,42,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,699,6.008583690987124
Sao Tome and Principe,14,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,865,1.6184971098265895
Saudi Arabia,2760,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,268934,1.0262741044271086
Senegal,194,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,9764,1.9868906185989348
Serbia,543,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,24141,2.249285447993041
Seychelles,0,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,114,0.0
Sierra Leone,66,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,1783,3.701626472237801
Singapore,27,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,50838,0.05310987843738935
Slovakia,28,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,2181,1.2838147638697845
Slovenia,116,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,2087,5.558217537134643
Somalia,93,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,3196,2.909887359198999
South Africa,7067,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,452529,1.5616678710093719
South Korea,300,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,14203,2.1122298106033934
South Sudan,46,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,2305,1.9956616052060738
Spain,28432,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,272421,10.436787178668311
Sri Lanka,11,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,2805,0.39215686274509803
Sudan,720,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,11424,6.302521008403361
Suriname,24,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,1483,1.6183412002697235
Sweden,5700,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,79395,7.179293406385792
Switzerland,1978,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,34477,5.737158105403602
Syria,40,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,674,5.934718100890208
Taiwan*,7,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,462,1.5151515151515151
Tajikistan,60,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,7235,0.82930200414651
Tanzania,21,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,509,4.12573673870334
Thailand,58,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,3297,1.7591750075826509
Timor-Leste,0,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,24,0.0
Togo,18,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,874,2.059496567505721
Trinidad and Tobago,8,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,148,5.405405405405405
Tunisia,50,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,1455,3.436426116838488
Turkey,5630,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,227019,2.4799686369863316
US,148011,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,4290259,3.4499315775574386
Uganda,2,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,1128,0.1773049645390071
Ukraine,1636,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,67096,2.438297364969596
United Arab Emirates,345,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,59177,0.5829967723946804
United Kingdom,45844,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,301708,15.194824134593713
Uruguay,35,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,1202,2.9118136439267883
Uzbekistan,121,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,21209,0.5705125182705455
Venezuela,146,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,15988,0.9131848886664998
Vietnam,0,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,431,0.0
West Bank and Gaza,78,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,10621,0.7343941248470013
Western Sahara,1,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,10,10.0
Yemen,483,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,1691,28.562980484920164
Zambia,140,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,4552,3.0755711775043935
Zimbabwe,3516,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,6184,56.85640362225097
